Filename,Depth (µm),White (%)
MASK_SK658 Slobe ch010118.jpg,9900,5.6574
MASK_SK658 Slobe ch010113.jpg,7300,2.8595
MASK_SK658 Slobe ch010098.jpg,10000,9.1429
MASK_SK658 Llobe ch010022.jpg,80,0.7904
MASK_SK658 Llobe ch010168.jpg,6000,2.3687
MASK_SK658 Slobe ch010156.jpg,330,0.9076
